Company,Job ID,Job Title,Job Type,Posting Date,Contract Type,Region,Apply Link
Swapfiets,1156290542788384,Service & Store Associate - Brussels (Student job),Store & Field,"Aug 20, 2026",Temporary,Swapfiets BE,https://swapfiets.careers.hibob.com/jobs/c1f1a56e-2905-4278-8c3f-8e4333e2ca5b/apply
Swapfiets,121491981632348,Store & Service Associate (Part time) - Odense,Store & Field,"Aug 19, 2026",Permanent,Swapfiets DK,https://swapfiets.careers.hibob.com/jobs/0d1b2a1a-babe-4d91-9c8c-163d2c348f0b/apply
Swapfiets,1570024550977257,Winkelmedewerker (Parttime) - Amsterdam,Store & Field,"Jan 9, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/dc157ed0-02df-4550-9772-c57660f26d75/apply
Swapfiets,1625945416797191,Service & Store Associate (Flex) - Eindhoven,Store & Field,"Aug 3, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/1d62df59-4c5e-4167-9a7b-c19f1ec9edab/apply
Swapfiets,1889917545933325,Supply Chain Planner,HQ & Customer Service,"Sep 3, 2026",1 year,SwapServices,https://swapfiets.careers.hibob.com/jobs/188a991a-7ee5-459d-b3d3-3c2bf59fa4c3/apply
Swapfiets,1964666241594385,Store Associate (32 hours) - Amsterdam,Store & Field,"Jan 9, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/196ee466-e62a-4d15-b9e4-b3b8e5d64d49/apply
Swapfiets,2149431284487958,Store bike Mechanic - Amsterdam,Store & Field,"Jun 5, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/21494f3e-12c8-4487-9c58-be013d28cc71/apply
Swapfiets,2591694281481534,Partnership & Member Growth Internship - Gent,Store & Field,"Jun 17, 2026",Intern,Swapfiets BE,https://swapfiets.careers.hibob.com/jobs/259169c4-2e81-4815-a3ca-a49f737fa3f1/apply
Swapfiets,267929474898419,Service & Store Associate (Parttime) - Maastricht,Store & Field,"Aug 17, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/26afebc7-9d29-4f74-89fe-8de41ab9cfed/apply
Swapfiets,288184793613308,Logistics Driver - Amsterdam,Warehouse & Logistics,"Mar 19, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/ce28aee8-eb18-4f7a-9f3a-b61adf330ee8/apply
Swapfiets,3459007423523433,Bike Mechanic - Amsterdam (Warehouse),Warehouse & Logistics,"Aug 20, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/34deab59-007b-4235-b234-334611160ab0/apply
Swapfiets,3601851649585581,Logistics Operator - Den Hoorn,Warehouse & Logistics,"Jul 18, 2026",Temporary,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/3fa601e8-5e16-495e-b855-8bce1af583f2/apply
Swapfiets,3627795268401682,IT Support Internship,HQ & Customer Service,"Jul 15, 2026",Intern,SwapServices,https://swapfiets.careers.hibob.com/jobs/e3627795-26a8-4016-82a7-5559f9cca376/apply
Swapfiets,3986146507849373,Service and Logistics Driver - Amsterdam (Flex),Warehouse & Logistics,"Jul 9, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/3eb98aca-6f1b-4650-b784-93e731fcd5d0/apply
Swapfiets,4040894969205241,Partnership & Member Growth Internship - Antwerp,Store & Field,"Jun 17, 2026",Intern,Swapfiets BE,https://swapfiets.careers.hibob.com/jobs/d4b0408b-9faf-49f6-920a-5aa24e1dd230/apply
Swapfiets,4061918845395653,Logistikmitarbeiter*in (Werkstudent*in) - Hamburg,Warehouse & Logistics,"Aug 13, 2026",Temporary,Swapfiets DE,https://swapfiets.careers.hibob.com/jobs/c40b6191-88fe-453e-95cc-c6e5b36cf050/apply
Swapfiets,4341301480916321,Store & Field Lead Antwerp,Store & Field,"Jun 4, 2026",Permanent,Swapfiets BE,https://swapfiets.careers.hibob.com/jobs/434d1e3a-cc01-48b0-ac91-6a3a21e4a9d4/apply
Swapfiets,452806498799672,Logistic Lead - Delft (Den Hoorn Warehouse),Warehouse & Logistics,"Aug 19, 2026",1 year,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/4d5fca2a-806c-4b9e-87be-c99ac672abcb/apply
Swapfiets,4697569305948948,Service Driver (Part-Time) - Den Bosch (Warehouse),Store & Field,"Sep 4, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/46975693-059a-4c8e-94a8-b7d30428bdd0/apply
Swapfiets,5316804844683356,Service Driver - Amsterdam (Flex),Store & Field,"Aug 10, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/5316f804-d8a4-4b68-a3ef-356e0e5f909f/apply
Swapfiets,5740084791317283,Customer service agent - Dutch (flex) - Amsterdam,HQ & Customer Service,"Jul 6, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/fa574eb0-f08c-47bd-91c3-d1728fcb374e/apply
Swapfiets,5997104409095456,Service & Store Associate (Flex) - Nijmegen,Store & Field,"Aug 17, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/5997d1e0-4fad-4bdb-ab09-e09f5a4a5fe6/apply
Swapfiets,6162775846088436,Customer service agent - German (32 hours) - Amsterdam,HQ & Customer Service,"Aug 19, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/6162a775-e8bb-4608-84aa-ddeca3c6aaa3/apply
Swapfiets,6167954953026584,Bike Mechanic - Groningen (Warehouse),Warehouse & Logistics,"Aug 26, 2026",7-month contract,Swapfiets NL,https://swapfiets.careers.hibob.com/jobs/61dcd6e7-bd95-4fbf-a953-02658a45a23b/apply
